('Total Revenue', '254,190,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         398126 function calls (394604 primitive calls) in 1.344 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       61    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
      549    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/httpx/_decoders.py:237(decode)
      195    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:175(_type_check)
      131    0.000    0.000    0.002    0.000 /usr/lib/python3.12/typing.py:1242(__init__)
     2710    0.000    0.000    0.000    0.000 /usr/lib/python3.12/_markupbase.py:36(getpos)
     2711    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/builder/__init__.py:453(set_up_substitutions)
       89    0.000    0.000    0.006    0.000 /usr/lib/python3.12/dataclasses.py:449(_create_fn)
      125    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      966    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1134(_is_dunder)
      280    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/h11/_state.py:301(_fire_event_triggered_transitions)
    112/4    0.000    0.000    0.042    0.010 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     2566    0.000    0.000    0.000    0.000 /usr/lib/python3.12/html/parser.py:127(clear_cdata_mode)
      548    0.000    0.000    0.000    0.000 <string>:2(__eq__)
    71/15    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_compiler.py:37(_compile)
      276    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/h11/_connection.py:248(_server_switch_event)
      275    0.000    0.000    0.184    0.001 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/httpx/_transports/default.py:125(__iter__)
     1855    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/element.py:2203(_normalize_search_value)
      275    0.000    0.000    0.183    0.001 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/httpcore/_sync/http11.py:330(__iter__)
      358    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      275    0.000    0.000    0.184    0.001 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/httpx/_client.py:152(__iter__)
      102    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      275    0.000    0.000    0.184    0.001 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/httpcore/_sync/connection_pool.py:401(__iter__)
       41    0.000    0.000    0.000    0.000 /usr/lib/python3.12/types.py:192(__init__)
      125    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
    102/4    0.000    0.000    0.041    0.010 <frozen importlib._bootstrap>:911(_load_unlocked)
  264/251    0.000    0.000    0.004    0.000 /usr/lib/python3.12/typing.py:392(inner)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      242    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      674    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     1821    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       17    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:1708(convert_class)
       98    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      106    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
       98    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
       73    0.000    0.000    0.003    0.000 /usr/lib/python3.12/re/__init__.py:280(_compile)
      135    0.000    0.000    0.000    0.000 /usr/lib/python3.12/dataclasses.py:701(_is_type)
      635    0.000    0.000    0.000    0.000 /usr/lib/python3.12/ssl.py:1083(_checkClosed)
      118    0.000    0.000    0.001    0.000 /usr/lib/python3.12/_markupbase.py:165(parse_comment)
      125    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
       99    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
       57    0.000    0.000    0.001    0.000 /usr/lib/python3.12/dataclasses.py:760(_get_field)
      809    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
       59    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       44    0.000    0.000    0.002    0.000 /usr/lib/python3.12/typing.py:687(Union)
        1    0.000    0.000    0.001    0.001 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/typing_extensions.py:1(<module>)
       34    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1047(_generic_class_getitem)
     98/4    0.000    0.000    0.041    0.010 <frozen importlib._bootstrap_external>:989(exec_module)
      284    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/h11/_connection.py:205(our_state)
       83    0.000    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/typing_extensions.py:3029(_collect_parameters)
  276/162    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1258(__hash__)
       54    0.000    0.000    0.000    0.000 /usr/lib/python3.12/functools.py:35(update_wrapper)
        3    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/h11/_headers.py:150(normalize_and_validate)
      294    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:261(get)
     22/8    0.000    0.000    0.001    0.000 /usr/lib/python3.12/inspect.py:2470(_signature_from_callable)
      294    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       32    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:175(get_annotations)
      409    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:168(__getitem__)
      894    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       31    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:243(_optimize_charset)
      102    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      118    0.000    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:241(handle_comment)
      135    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1147(__init__)
       83    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
        1    0.000    0.000    0.003    0.003 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/httpx/_models.py:641(text)
       33    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1096(_generic_init_subclass)
      125    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
